"Headline","Date","Source","City","State","Xenophobia","Location.Notes","Location.New","EventCodes","New3.PoliticalStatement","Old3.PoliticalStatement","New8.AsianBusinessDownturn","Old8.AsianBusinessDownturn","New9.AsianEventCancellation","Old9.AsianEventCancellation","New10.Transportation","Old10.Transportation","New12.AdultHarassment","Old12.AdultHarassment","New13.ChildHarassment","Old13.ChildHarassment","New14.OfficialStancesAgainstXenophobia","Old14.OfficialStancesAgainstXenophobia","New15.AsiansResistXenophobia","Old15.AsiansResistXenophobia","New16.Vandalism","Old16.Vandalism","Old.18","latitude","longitude"
"Editor, S. (2020, April 12). COMMENTARY: COVID-19 — Even During a Killer Pandemic Trump Tests Positive for Racism. Chicago Defender (IL). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A51033751245F0.","4/12/20","Chicago Defender ","Chicago","IL","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Editor, S. (2020, April 12). COMMENTARY: COVID-19 — Even During a Killer Pandemic Trump Tests Positive for Racism. Chicago Defender (IL). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A51033751245F0.","4/12/20","Chicago Defender ","Chicago","IL","Xenophobia is bad","California","California","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.778261,-119.4179324
"(2020, April 12). Philadelphia Inquirer, The (PA), p. 3. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A1691563DEA998098%40AWNB-17A4B36FAA1EC399%402458952-17A4B3DF03318927%402-17A4B3DF03318927%40.","4/12/20","The Philadelphia Inquirer","Philadelphia","PA","Xenophobia is bad","Washington DC","Washington, District of Columbia","New 3 - Political Statement","New 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"(2020, April 12). Topeka Capital-Journal, The (KS): Image Edition, p. 1. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A168C0F11BB30FFF8%40AWNB-17A4A6CB50D942A1%402458952-17A4A6D8B7B20DEA%400-17A4A6D8B7B20DEA%40.","4/12/20","The Topeka Capital-Journal","Topeka","KS","Xenophobia is bad","Topeka, KS","Topeka, KS","New 3 - Political Statement","New 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.0473451,-95.6751576
"(2020, April 12). Topeka Capital-Journal, The (KS): Image Edition, p. 11. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A168C0F11BB30FFF8%40AWNB-17A4A6CB50D942A1%402458952-17A4A6D8CA833561%4010-17A4A6D8CA833561%40.","4/12/20","The Topeka Capital-Journal","Topeka","KS","Xenophobia is bad","Manhattan,KS","Manhattan, KS","New 3 - Political Statement|New 8 - Asian Business Downturn|New 14 - Official Stances Against Xenophobia","New 3 - Political Statement",NA,"New 8 - Asian Business Downturn",NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,39.1836082,-96.5716694
"(2020, April 12). Register-Guard, The (Eugene, OR), p. 8. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A1755A585D0F68F50%40AWNB-17A4BF2E6005F0D6%402458952-17A4BF3CE4CADE7A%407-17A4BF3CE4CADE7A%40.","4/12/20","The Register-Guard","Eugene","OR","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Darby, B. (2020, April 12). Chinese Heritage Group donates 3,000 face masks. Savannah Morning News (GA), p. 4B. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A4CA2C4AD24768.","4/12/20","Savannah Morning News ","Savannah","GA","Xenophobia is bad","Savannah, GA","Savannah, GA","New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,32.0808989,-81.091203
"Cha-Jua, S. (2020, April 12). Real Talk | COVID-19 and the dialectics of racial oppression. News-Gazette, The: Web Edition Articles (Champaign-Urbana, IL). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A524F5D2647730.","4/12/20","The News-Gazette","Champaign-Urbana","IL","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement|Old 8 - Asian Business Downturn|Old 10 - Transportation|Old 13 - Child Harassment|New 14 - Official Stances Against Xenophobia",NA,"Old 3 - Political Statement",NA,"Old 8 - Asian Business Downturn",NA,NA,NA,"Old 10 - Transportation",NA,NA,NA,"Old 13 - Child Harassment","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"(2020, April 12). Olympian, The (Olympia, WA), p. 3. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A16D86542122AF0A0%40AWNB-17A13C9811ABDBF2%402458952-17A4926F8E33F822%402-17A4926F8E33F822%40.","4/12/20","The Olympian","Olympia","WA","Xenophobia is bad","Washington DC","Washington, District of Columbia","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"(2020, April 12). Connecticut Post (Bridgeport, CT), p. 10. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A1709497875A0D608%40AWNB-17A4B19D6547949F%402458952-17A4B1E9700096D7%409-17A4B1E9700096D7%40.","4/12/20","Connecticut Post ","Bridgeport","CT","Xenophobia is bad","Bridgeport, CT","Bridgeport, CT","New 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1792258,-73.1894384
